reading from file /home/ysc/x30_gridmap_captures/20260714_142726_mode3_flat_20260714_142726.pcap, link-type EN10MB (Ethernet)
2026-07-14 14:27:35.969265 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 14:27:35.969680 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 280
2026-07-14 14:27:36.068523 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 14:27:36.068925 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 280
2026-07-14 14:27:36.164109 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 14:27:36.164510 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 328
2026-07-14 14:27:36.264443 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 14:27:36.264918 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 472
2026-07-14 14:27:36.378574 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 14:27:36.378981 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 328
2026-07-14 14:27:36.464406 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 14:27:36.464818 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 328
2026-07-14 14:27:36.565193 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 14:27:36.565630 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 328
2026-07-14 14:27:36.690204 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 14:27:36.690569 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 472
2026-07-14 14:27:36.777088 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 14:27:36.777570 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 328
2026-07-14 14:27:36.879740 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 14:27:36.880156 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 232
2026-07-14 14:27:36.963410 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 14:27:36.963836 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 472
2026-07-14 14:27:37.085486 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 14:27:37.085913 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 328
2026-07-14 14:27:37.182862 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 14:27:37.183266 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 232
2026-07-14 14:27:37.275764 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 14:27:37.276182 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 232
2026-07-14 14:27:37.366240 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 14:27:37.366694 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 280
2026-07-14 14:27:37.487538 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 14:27:37.487970 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 328
2026-07-14 14:27:37.564761 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 14:27:37.565199 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 232
2026-07-14 14:27:37.680046 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 14:27:37.680451 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 280
2026-07-14 14:27:37.785289 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 14:27:37.785682 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 328
2026-07-14 14:27:37.865033 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 14:27:37.865505 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 472
2026-07-14 14:27:37.981253 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 14:27:37.981674 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 568
2026-07-14 14:27:38.079067 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 14:27:38.079479 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 184
2026-07-14 14:27:38.178636 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 14:27:38.178991 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 184
2026-07-14 14:27:38.266608 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 14:27:38.266971 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 280
2026-07-14 14:27:38.380751 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 14:27:38.381102 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 328
2026-07-14 14:27:38.475685 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 14:27:38.476064 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 232
2026-07-14 14:27:38.572548 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 14:27:38.572963 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 280
2026-07-14 14:27:38.660996 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 14:27:38.661480 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 280
