reading from file /home/ysc/x30_gridmap_captures/20260714_132556_factory_idle.pcap, link-type EN10MB (Ethernet)
2026-07-14 13:26:07.866218 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 376
2026-07-14 13:26:07.985177 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 13:26:07.985667 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 280
2026-07-14 13:26:08.067303 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 13:26:08.067657 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 376
2026-07-14 13:26:08.175173 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 13:26:08.175667 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 280
2026-07-14 13:26:08.279335 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 13:26:08.279773 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 280
2026-07-14 13:26:08.376426 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 13:26:08.376839 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 232
2026-07-14 13:26:08.477462 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 13:26:08.477889 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 280
2026-07-14 13:26:08.577708 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 13:26:08.578118 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 232
2026-07-14 13:26:08.679306 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 13:26:08.679730 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 280
2026-07-14 13:26:08.763933 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 13:26:08.764476 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 328
2026-07-14 13:26:08.866272 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 13:26:08.866644 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 280
2026-07-14 13:26:08.968726 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 13:26:08.969212 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 328
2026-07-14 13:26:09.063988 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 13:26:09.064478 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 232
2026-07-14 13:26:09.164642 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 13:26:09.165136 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 280
2026-07-14 13:26:09.279716 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 13:26:09.280139 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 376
2026-07-14 13:26:09.381557 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 13:26:09.381964 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 280
2026-07-14 13:26:09.485326 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 13:26:09.485739 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 232
2026-07-14 13:26:09.563967 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 13:26:09.564401 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 472
2026-07-14 13:26:09.689523 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 13:26:09.689907 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 280
2026-07-14 13:26:09.777213 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 13:26:09.777671 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 376
2026-07-14 13:26:09.867359 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
