reading from file /home/ysc/x30_gridmap_captures/20260714_153211_mode3_object_probe.pcap, link-type EN10MB (Ethernet)
2026-07-14 15:32:21.367633 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 328
2026-07-14 15:32:21.486583 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:21.486981 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 328
2026-07-14 15:32:21.578409 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:21.578842 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 328
2026-07-14 15:32:21.661341 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:21.661732 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 376
2026-07-14 15:32:21.766716 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:21.767125 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 280
2026-07-14 15:32:21.880093 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:21.880492 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 376
2026-07-14 15:32:22.021131 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:22.021507 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 376
2026-07-14 15:32:22.065285 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:22.065677 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 328
2026-07-14 15:32:22.167620 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:22.167964 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 376
2026-07-14 15:32:22.286435 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:22.286855 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 472
2026-07-14 15:32:22.366084 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:22.366429 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 328
2026-07-14 15:32:22.466899 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:22.467236 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 376
2026-07-14 15:32:22.561317 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:22.561722 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 520
