reading from file /home/ysc/x30_gridmap_captures/20260714_150324_mode3_known_step.pcap, link-type EN10MB (Ethernet)
2026-07-14 15:03:32.264842 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 280
2026-07-14 15:03:32.381551 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:03:32.381959 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 376
2026-07-14 15:03:32.480715 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:03:32.481144 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 376
2026-07-14 15:03:32.582273 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:03:32.582770 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 520
2026-07-14 15:03:32.679055 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:03:32.679444 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 424
2026-07-14 15:03:32.765555 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:03:32.765919 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 376
2026-07-14 15:03:32.881139 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:03:32.881564 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 328
2026-07-14 15:03:32.967157 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:03:32.967552 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 232
2026-07-14 15:03:33.065317 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:03:33.065730 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 424
2026-07-14 15:03:33.168017 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:03:33.168431 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 376
2026-07-14 15:03:33.278735 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:03:33.279151 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 472
2026-07-14 15:03:33.382129 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:03:33.382604 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 472
2026-07-14 15:03:33.464582 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:03:33.465058 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 232
2026-07-14 15:03:33.572771 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:03:33.573193 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 280
2026-07-14 15:03:33.715536 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:03:33.715940 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 232
2026-07-14 15:03:33.781787 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:03:33.782223 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 232
2026-07-14 15:03:33.864853 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:03:33.865317 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 328
2026-07-14 15:03:33.983767 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:03:33.984200 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 280
2026-07-14 15:03:34.075043 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:03:34.075502 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 328
2026-07-14 15:03:34.165345 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:03:34.165816 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 232
2026-07-14 15:03:34.265149 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:03:34.265630 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 280
2026-07-14 15:03:34.395215 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:03:34.395615 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 232
2026-07-14 15:03:34.461614 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:03:34.462022 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 328
2026-07-14 15:03:34.565392 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:03:34.565843 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 232
2026-07-14 15:03:34.667936 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:03:34.668333 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 424
2026-07-14 15:03:34.783259 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:03:34.783666 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 328
2026-07-14 15:03:34.868171 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:03:34.868591 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 568
2026-07-14 15:03:34.980798 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:03:34.981240 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 232
2026-07-14 15:03:35.065441 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:03:35.065801 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 376
2026-07-14 15:03:35.181429 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:03:35.181833 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 376
2026-07-14 15:03:35.281125 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:03:35.281523 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 184
2026-07-14 15:03:35.381925 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:03:35.382333 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 328
2026-07-14 15:03:35.466484 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:03:35.466896 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 232
2026-07-14 15:03:35.588022 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:03:35.588425 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 232
2026-07-14 15:03:35.659965 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:03:35.660426 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 232
2026-07-14 15:03:35.769348 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:03:35.769772 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 424
2026-07-14 15:03:35.879480 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:03:35.879889 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 280
2026-07-14 15:03:35.978652 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:03:35.979059 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 472
2026-07-14 15:03:36.079903 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:03:36.080297 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 328
2026-07-14 15:03:36.187318 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:03:36.187719 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 376
2026-07-14 15:03:36.264904 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:03:36.265318 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 280
2026-07-14 15:03:36.381338 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:03:36.381750 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 280
2026-07-14 15:03:36.474240 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:03:36.474637 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 232
2026-07-14 15:03:36.566275 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:03:36.566677 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 520
2026-07-14 15:03:36.678911 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:03:36.679325 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 232
2026-07-14 15:03:36.779614 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:03:36.780044 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 424
