reading from file /home/ysc/x30_gridmap_captures/20260714_160857_mode3_measured_step_h022_d029_w035.pcap, link-type EN10MB (Ethernet)
2026-07-14 16:09:10.581248 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:10.581741 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 568
2026-07-14 16:09:10.663490 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:10.663899 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 376
2026-07-14 16:09:10.770374 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:10.770844 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 280
2026-07-14 16:09:10.878025 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:10.878435 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 280
2026-07-14 16:09:10.963603 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:10.964034 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 280
2026-07-14 16:09:11.068808 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:11.069206 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 376
